Year,Month,Temp
2010,8,13.6
2010,9,6.8
2010,10,0.2
2010,11,-6.8
2010,12,-12.5
2011,1,-18.8
2011,2,-14.4
2011,3,-14.6
2011,4,-6.1
2011,5,-0.2
2011,6,7.3
2011,7,12.8
2011,8,12.2
2011,9,7.9
2011,10,-0.2
2011,11,-6.5
2011,12,-16.2
2012,1,-18.8
2012,2,-19.5
2012,3,-13.7
2012,4,-4.3
2012,5,2.4
2012,6,8.0
2012,7,11.7
2012,8,13.4
2012,9,11.1
2012,10,-0.3
2012,11,-7.9
2012,12,-16.0
2013,1,-19.1
2013,2,-18.0
2013,3,-13.6
2013,4,-7.3
2013,5,1.4
2013,6,9.3
2013,7,12.2
2013,8,12.1
2013,9,7.1
2013,10,0.9
2013,11,-7.5
2013,12,-13.4
2014,1,-18.4
2014,2,-16.3
2014,3,-13.5
2014,4,-5.8
2014,5,2.7
2014,6,9.5
2014,7,11.9
2014,8,11.0
2014,9,5.3
2014,10,-1.1
2014,11,-6.8
2014,12,-15.8
2015,1,-15.3
2015,2,-13.9
2015,3,-9.3
2015,4,-3.8
2015,5,2.8
2015,6,6.6
2015,7,12.2
2015,8,11.6
2015,9,6.4
2015,10,-2.7
2015,11,-6.4
2015,12,-12.5
2016,1,-18.3
2016,2,-16.5
2016,3,-11.9
2016,4,-6.2
2016,5,4.2
2016,6,6.2
2016,7,11.6
2016,8,13.3
2016,9,7.8
2016,10,-3.5
2016,11,-11.1
2016,12,-14.4
2017,1,-17.6
2017,2,-15.8
2017,3,-13.0
2017,4,-5.6
2017,5,4.2
2017,6,6.6
2017,7,14.0
2017,8,10.9
2017,9,5.1
2017,10,-1.7
2017,11,-9.2
2017,12,-15.8
2018,1,-16.2
2018,2,-18.5
2018,3,-9.7
2018,4,-4.3
2018,5,2.1
2018,6,7.2
2018,7,13.7
2018,8,10.4
2018,9,6.6
2018,10,0.4
2018,11,-7.0
2018,12,-14.8
2019,1,-17.0
2019,2,-17.3
2019,3,-11.6
2019,4,-5.9
2019,5,4.2
2019,6,NA
2019,7,NA
2019,8,NA
2019,9,NA
2019,10,2.4
2019,11,-9.6
2019,12,-13.9
2020,1,-15.5
2020,2,-15.4
2020,3,-9.6
2020,4,-7.0
2020,5,2.9
2020,6,8.0
2020,7,11.5
2020,8,12.9
2020,9,9.0
2020,10,-0.5
2020,11,-7.1
2020,12,-16.4
2021,1,-17.6
2021,2,-15.4
2021,3,-8.1
2021,4,-4.8
2021,5,1.8
2021,6,9.1
2021,7,14.0
2021,8,10.9
2021,9,6.8
2021,10,0.0
2021,11,-6.4
2021,12,-13.4
2022,1,-17.2
2022,2,-16.6
2022,3,-11.3
2022,4,-4.1
2022,5,2.7
2022,6,6.8
2022,7,13.2
2022,8,11.6
2022,9,10.1
2022,10,-0.3
2022,11,-6.5
2022,12,-15.4
2023,1,-18.7
2023,2,-17.2
2023,3,-7.0
2023,4,-4.3
2023,5,1.8
2023,6,8.4
2023,7,13.1
2023,8,16.1